Year,Month,Sector,Product_Description,HS_Code,HS_Code_2,HS_Code_4,HS_Code_6,Export_Value_USD,Export_Value_INR,Quantity_Tons,Unit_Price_USD_per_Ton,Port_of_Export,State_of_Origin,Destination_Port_USA,Trade_Terms,Historical_Average_Tariff_Rate_Percent,Export_Share_Percent_of_Total,Partner_Country
2015,January,Electronics,Mobile phones,8517,85,8517,8517,3063547,199130555,307,9978.98,Vadodara,Gujarat,Houston,FOB,0.0,0.86,USA
2015,January,Electronics,Laptop computers,8471,84,8471,8471,2652465,172410225,690,3844.15,Hyderabad,Telangana,Long Beach,FOB,0.0,1.36,USA
2015,January,Electronics,Smart watches,8517,85,8517,8517,4352923,282939995,324,13434.95,Hyderabad,Telangana,Philadelphia,FOB,0.0,2.63,USA
2015,January,Pharmaceuticals,Generic drugs,3001,30,3001,3001,3761464,244495160,182,20667.38,Bangalore,Karnataka,San Francisco,CIF,0.0,1.34,USA
2015,January,Pharmaceuticals,Vaccines,3002,30,3002,3002,1581679,102809135,621,2546.99,Surat,Gujarat,Philadelphia,CIF,0.0,1.42,USA
2015,January,Pharmaceuticals,Antibiotics,2901,29,2901,2901,4040796,262651740,337,11990.49,Bangalore,Karnataka,Los Angeles,FOB,0.0,2.2,USA
2015,January,Chemicals,Organic chemicals,2901,29,2901,2901,2255231,146590015,712,3167.46,Kolkata,West Bengal,Long Beach,CIF,3.0,4.62,USA
2015,January,Chemicals,Inorganic chemicals,2801,28,2801,2801,2166724,140837060,353,6138.03,Surat,Gujarat,New York,CIF,3.0,0.68,USA
2015,January,Chemicals,Paints,3201,32,3201,3201,1974663,128353095,487,4054.75,Surat,Gujarat,San Francisco,CIF,3.0,4.63,USA
2015,February,Textiles,Cotton yarn,5205,52,5205,5205,3321470,215895550,710,4678.13,Vadodara,Gujarat,Seattle,FOB,5.0,3.81,USA
2015,February,Textiles,Silk fabric,5007,50,5007,5007,2155594,140113610,290,7433.08,Mumbai,Maharashtra,Long Beach,FOB,5.0,3.26,USA
2015,February,Textiles,Woolen fabric,5101,51,5101,5101,800676,52043940,348,2300.79,Vadodara,Gujarat,Miami,CIF,5.0,1.37,USA
2015,February,Gems & Jewellery,Diamond rings,7102,71,7102,7102,2222109,144437085,795,2795.11,Mumbai,Maharashtra,Long Beach,CIF,7.5,4.53,USA
2015,February,Gems & Jewellery,Gold earrings,7113,71,7113,7113,4423817,287548105,719,6152.74,Chennai,Tamil Nadu,Philadelphia,CIF,7.5,3.92,USA
2015,February,Gems & Jewellery,Platinum rings,7110,71,7110,7110,1743860,113350900,159,10967.67,Bangalore,Karnataka,Long Beach,FOB,7.5,4.11,USA
2015,February,Footwear,Leather shoes,6403,64,6403,6403,650236,42265340,541,1201.91,Bangalore,Karnataka,New York,FOB,10.0,2.83,USA
2015,February,Footwear,Sports shoes,6404,64,6404,6404,2313800,150397000,662,3495.17,Mumbai,Maharashtra,San Francisco,FOB,10.0,0.34,USA
2015,February,Footwear,Canvas sneakers,6404,64,6404,6404,4804075,312264875,620,7748.51,Hyderabad,Telangana,Chicago,CIF,10.0,4.77,USA
2015,February,Auto Components,Engine parts,8409,84,8409,8409,2846678,185034070,462,6161.64,Vadodara,Gujarat,Long Beach,CIF,2.5,0.56,USA
2015,February,Auto Components,Brake pads,8708,87,8708,8708,3443660,223837900,378,9110.21,Vadodara,Gujarat,Los Angeles,CIF,2.5,3.12,USA
2015,February,Auto Components,Gear boxes,8409,84,8409,8409,2662629,173070885,346,7695.46,Mumbai,Maharashtra,Boston,CIF,2.5,1.65,USA
2015,February,Electronics,Mobile phones,8517,85,8517,8517,3537298,229924370,254,13926.37,Chennai,Tamil Nadu,Chicago,CIF,0.0,1.35,USA
2015,February,Electronics,Laptop computers,8471,84,8471,8471,943069,61299485,383,2462.32,Vadodara,Gujarat,San Francisco,FOB,0.0,1.02,USA
2015,February,Electronics,Smart watches,8517,85,8517,8517,3288307,213739955,504,6524.42,Bangalore,Karnataka,Miami,FOB,0.0,2.53,USA
2015,February,Pharmaceuticals,Generic drugs,3001,30,3001,3001,4969738,323032970,283,17560.91,Kolkata,West Bengal,Long Beach,FOB,0.0,3.94,USA
2015,February,Pharmaceuticals,Vaccines,3002,30,3002,3002,707886,46012590,569,1244.09,Kolkata,West Bengal,Long Beach,CIF,0.0,4.8,USA
2015,February,Pharmaceuticals,Antibiotics,2901,29,2901,2901,3172044,206182860,275,11534.71,Hyderabad,Telangana,Chicago,FOB,0.0,0.46,USA
2015,February,Chemicals,Organic chemicals,2901,29,2901,2901,1099382,71459830,148,7428.26,Vadodara,Gujarat,Houston,CIF,3.0,2.11,USA
2015,February,Chemicals,Inorganic chemicals,2801,28,2801,2801,1159387,75360155,498,2328.09,Chennai,Tamil Nadu,New York,CIF,3.0,3.32,USA
2015,February,Chemicals,Paints,3201,32,3201,3201,4156138,270148970,643,6463.67,Bangalore,Karnataka,San Francisco,CIF,3.0,3.29,USA
2015,March,Textiles,Cotton yarn,5205,52,5205,5205,3167715,205901475,355,8923.14,Hyderabad,Telangana,Miami,FOB,5.0,1.63,USA
2015,March,Textiles,Silk fabric,5007,50,5007,5007,2963727,192642255,773,3834.06,Surat,Gujarat,Los Angeles,CIF,5.0,3.29,USA
2015,March,Textiles,Woolen fabric,5101,51,5101,5101,1008476,65550940,509,1981.29,Hyderabad,Telangana,New York,CIF,5.0,1.25,USA
2015,March,Gems & Jewellery,Diamond rings,7102,71,7102,7102,4009412,260611780,354,11326.02,Surat,Gujarat,San Francisco,FOB,7.5,1.31,USA
2015,March,Gems & Jewellery,Gold earrings,7113,71,7113,7113,3952273,256897745,101,39131.42,Vadodara,Gujarat,Chicago,FOB,7.5,3.61,USA
2015,March,Gems & Jewellery,Platinum rings,7110,71,7110,7110,3312317,215300605,502,6598.24,Vadodara,Gujarat,Long Beach,FOB,7.5,4.86,USA
2015,March,Footwear,Leather shoes,6403,64,6403,6403,3039219,197549235,257,11825.75,Mumbai,Maharashtra,Chicago,CIF,10.0,2.26,USA
2015,March,Footwear,Sports shoes,6404,64,6404,6404,1120048,72803120,546,2051.37,Hyderabad,Telangana,Los Angeles,FOB,10.0,4.01,USA
2015,March,Footwear,Canvas sneakers,6404,64,6404,6404,4221120,274372800,393,10740.76,Kolkata,West Bengal,Los Angeles,CIF,10.0,2.35,USA
2015,March,Auto Components,Engine parts,8409,84,8409,8409,1202458,78159770,354,3396.77,Bangalore,Karnataka,Long Beach,FOB,2.5,0.84,USA
2015,March,Auto Components,Brake pads,8708,87,8708,8708,540837,35154405,173,3126.23,Surat,Gujarat,Philadelphia,CIF,2.5,2.31,USA
2015,March,Auto Components,Gear boxes,8409,84,8409,8409,1078732,70117580,787,1370.69,Hyderabad,Telangana,Philadelphia,FOB,2.5,3.63,USA
2015,March,Electronics,Mobile phones,8517,85,8517,8517,1172815,76232975,258,4545.79,Bangalore,Karnataka,Miami,FOB,0.0,1.82,USA
2015,March,Electronics,Laptop computers,8471,84,8471,8471,4260124,276908060,174,24483.47,Mumbai,Maharashtra,San Francisco,CIF,0.0,2.69,USA
2015,March,Electronics,Smart watches,8517,85,8517,8517,1033874,67201810,123,8405.48,Hyderabad,Telangana,Long Beach,FOB,0.0,0.35,USA
2015,March,Pharmaceuticals,Generic drugs,3001,30,3001,3001,2375048,154378120,683,3477.38,Vadodara,Gujarat,Chicago,FOB,0.0,0.61,USA
2015,March,Pharmaceuticals,Vaccines,3002,30,3002,3002,1684902,109518630,765,2202.49,Chennai,Tamil Nadu,Long Beach,FOB,0.0,1.43,USA
2015,March,Pharmaceuticals,Antibiotics,2901,29,2901,2901,889033,57787145,366,2429.05,Hyderabad,Telangana,Houston,FOB,0.0,1.33,USA
2015,March,Chemicals,Organic chemicals,2901,29,2901,2901,3108243,202035795,326,9534.49,Surat,Gujarat,Seattle,FOB,3.0,0.61,USA
2015,March,Chemicals,Inorganic chemicals,2801,28,2801,2801,4792252,311496380,373,12847.86,Mumbai,Maharashtra,Chicago,FOB,3.0,1.77,USA
2015,March,Chemicals,Paints,3201,32,3201,3201,4826766,313739790,139,34724.94,Bangalore,Karnataka,Long Beach,FOB,3.0,1.96,USA
2015,April,Textiles,Cotton yarn,5205,52,5205,5205,1617622,105145430,772,2095.37,Bangalore,Karnataka,Long Beach,FOB,5.0,2.64,USA
2015,April,Textiles,Silk fabric,5007,50,5007,5007,2382883,154887395,213,11187.24,Kolkata,West Bengal,Long Beach,FOB,5.0,1.07,USA
2015,April,Textiles,Woolen fabric,5101,51,5101,5101,1684551,109495815,359,4692.34,Surat,Gujarat,Miami,FOB,5.0,0.37,USA
2015,April,Gems & Jewellery,Diamond rings,7102,71,7102,7102,4814281,312928265,794,6063.33,Vadodara,Gujarat,New York,CIF,7.5,2.44,USA
2015,April,Gems & Jewellery,Gold earrings,7113,71,7113,7113,3325626,216165690,553,6013.79,Kolkata,West Bengal,San Francisco,CIF,7.5,4.13,USA
2015,April,Gems & Jewellery,Platinum rings,7110,71,7110,7110,3175019,206376235,790,4019.01,Kolkata,West Bengal,Boston,CIF,7.5,0.38,USA
2015,April,Footwear,Leather shoes,6403,64,6403,6403,1876060,121943900,781,2402.13,Hyderabad,Telangana,San Francisco,CIF,10.0,2.45,USA
2015,April,Footwear,Sports shoes,6404,64,6404,6404,839348,54557620,464,1808.94,Bangalore,Karnataka,New York,FOB,10.0,2.46,USA
2015,April,Footwear,Canvas sneakers,6404,64,6404,6404,2923992,190059480,473,6181.8,Mumbai,Maharashtra,Miami,FOB,10.0,3.06,USA
2015,April,Auto Components,Engine parts,8409,84,8409,8409,1870676,121593940,712,2627.35,Vadodara,Gujarat,Chicago,FOB,2.5,3.84,USA
2015,April,Auto Components,Brake pads,8708,87,8708,8708,1598620,103910300,497,3216.54,Surat,Gujarat,Boston,FOB,2.5,2.76,USA
2015,April,Auto Components,Gear boxes,8409,84,8409,8409,3474837,225864405,367,9468.22,Chennai,Tamil Nadu,Seattle,FOB,2.5,0.62,USA
2015,April,Electronics,Mobile phones,8517,85,8517,8517,3572342,232202230,358,9978.61,Hyderabad,Telangana,Long Beach,CIF,0.0,4.04,USA
2015,April,Electronics,Laptop computers,8471,84,8471,8471,2310817,150203105,281,8223.55,Surat,Gujarat,New York,FOB,0.0,2.84,USA
2015,April,Electronics,Smart watches,8517,85,8517,8517,3733787,242696155,783,4768.57,Mumbai,Maharashtra,Long Beach,FOB,0.0,2.57,USA
2015,April,Pharmaceuticals,Generic drugs,3001,30,3001,3001,4520438,293828470,559,8086.65,Bangalore,Karnataka,Miami,CIF,0.0,3.14,USA
2015,April,Pharmaceuticals,Vaccines,3002,30,3002,3002,4017118,261112670,645,6228.09,Kolkata,West Bengal,Long Beach,CIF,0.0,3.72,USA
2015,April,Pharmaceuticals,Antibiotics,2901,29,2901,2901,4531703,294560695,764,5931.55,Mumbai,Maharashtra,New York,CIF,0.0,3.45,USA
2015,April,Chemicals,Organic chemicals,2901,29,2901,2901,1370600,89089000,134,10228.36,Bangalore,Karnataka,Houston,CIF,3.0,1.28,USA
2015,April,Chemicals,Inorganic chemicals,2801,28,2801,2801,2903638,188736470,667,4353.28,Kolkata,West Bengal,Miami,CIF,3.0,1.75,USA
2015,April,Chemicals,Paints,3201,32,3201,3201,2766526,179824190,110,25150.24,Bangalore,Karnataka,Miami,FOB,3.0,4.87,USA
2015,May,Textiles,Cotton yarn,5205,52,5205,5205,4194528,272644320,694,6043.99,Hyderabad,Telangana,New York,CIF,5.0,4.7,USA
2015,May,Textiles,Silk fabric,5007,50,5007,5007,1093168,71055920,318,3437.64,Chennai,Tamil Nadu,Los Angeles,FOB,5.0,3.35,USA
2015,May,Textiles,Woolen fabric,5101,51,5101,5101,2440400,158626000,112,21789.29,Mumbai,Maharashtra,San Francisco,FOB,5.0,2.69,USA
2015,May,Gems & Jewellery,Diamond rings,7102,71,7102,7102,690980,44913700,709,974.58,Vadodara,Gujarat,Chicago,FOB,7.5,2.74,USA
2015,May,Gems & Jewellery,Gold earrings,7113,71,7113,7113,2663399,173120935,410,6496.1,Chennai,Tamil Nadu,Long Beach,FOB,7.5,3.24,USA
2015,May,Gems & Jewellery,Platinum rings,7110,71,7110,7110,666158,43300270,118,5645.41,Vadodara,Gujarat,Miami,CIF,7.5,1.16,USA
2015,May,Footwear,Leather shoes,6403,64,6403,6403,4960802,322452130,283,17529.34,Vadodara,Gujarat,San Francisco,CIF,10.0,4.52,USA
2015,May,Footwear,Sports shoes,6404,64,6404,6404,1254465,81540225,647,1938.89,Surat,Gujarat,Long Beach,FOB,10.0,4.33,USA
2015,May,Footwear,Canvas sneakers,6404,64,6404,6404,1740638,113141470,456,3817.19,Chennai,Tamil Nadu,Boston,CIF,10.0,3.0,USA
2015,May,Auto Components,Engine parts,8409,84,8409,8409,3688442,239748730,313,11784.16,Hyderabad,Telangana,Miami,CIF,2.5,2.38,USA
2015,May,Auto Components,Brake pads,8708,87,8708,8708,2906129,188898385,469,6196.44,Mumbai,Maharashtra,Long Beach,FOB,2.5,0.32,USA
2015,May,Auto Components,Gear boxes,8409,84,8409,8409,2173443,141273795,393,5530.39,Kolkata,West Bengal,Houston,CIF,2.5,0.48,USA
2015,May,Electronics,Mobile phones,8517,85,8517,8517,3668704,238465760,504,7279.17,Hyderabad,Telangana,Chicago,CIF,0.0,3.93,USA
2015,May,Electronics,Laptop computers,8471,84,8471,8471,2637536,171439840,209,12619.79,Bangalore,Karnataka,Los Angeles,CIF,0.0,1.71,USA
2015,May,Electronics,Smart watches,8517,85,8517,8517,1354548,88045620,382,3545.94,Hyderabad,Telangana,Los Angeles,CIF,0.0,4.54,USA
2015,May,Pharmaceuticals,Generic drugs,3001,30,3001,3001,3555261,231091965,669,5314.29,Surat,Gujarat,Miami,FOB,0.0,4.34,USA
2015,May,Pharmaceuticals,Vaccines,3002,30,3002,3002,4006736,260437840,338,11854.25,Surat,Gujarat,Miami,CIF,0.0,2.83,USA
2015,May,Pharmaceuticals,Antibiotics,2901,29,2901,2901,4620328,300321320,423,10922.76,Bangalore,Karnataka,Los Angeles,CIF,0.0,0.94,USA
2015,May,Chemicals,Organic chemicals,2901,29,2901,2901,4776464,310470160,591,8082.0,Kolkata,West Bengal,Miami,FOB,3.0,0.21,USA
2015,May,Chemicals,Inorganic chemicals,2801,28,2801,2801,1853200,120458000,144,12869.44,Vadodara,Gujarat,Seattle,FOB,3.0,0.79,USA
2015,May,Chemicals,Paints,3201,32,3201,3201,2802455,182159575,261,10737.38,Bangalore,Karnataka,Houston,FOB,3.0,0.42,USA
2015,June,Textiles,Cotton yarn,5205,52,5205,5205,1647438,107083470,285,5780.48,Vadodara,Gujarat,Houston,CIF,5.0,1.93,USA
2015,June,Textiles,Silk fabric,5007,50,5007,5007,3323610,216034650,590,5633.24,Vadodara,Gujarat,Long Beach,FOB,5.0,4.76,USA
2015,June,Textiles,Woolen fabric,5101,51,5101,5101,1560065,101404225,755,2066.31,Hyderabad,Telangana,Los Angeles,CIF,5.0,1.45,USA
2015,June,Gems & Jewellery,Diamond rings,7102,71,7102,7102,1139221,74049365,684,1665.53,Kolkata,West Bengal,New York,CIF,7.5,1.81,USA
2015,June,Gems & Jewellery,Gold earrings,7113,71,7113,7113,4570108,297057020,707,6464.08,Mumbai,Maharashtra,Chicago,CIF,7.5,0.72,USA
2015,June,Gems & Jewellery,Platinum rings,7110,71,7110,7110,557699,36250435,333,1674.77,Hyderabad,Telangana,Chicago,CIF,7.5,4.62,USA
2015,June,Footwear,Leather shoes,6403,64,6403,6403,962849,62585185,683,1409.73,Kolkata,West Bengal,Seattle,FOB,10.0,4.03,USA
2015,June,Footwear,Sports shoes,6404,64,6404,6404,3837964,249467660,158,24290.91,Mumbai,Maharashtra,San Francisco,CIF,10.0,1.54,USA
2015,June,Footwear,Canvas sneakers,6404,64,6404,6404,1189888,77342720,138,8622.38,Bangalore,Karnataka,Long Beach,CIF,10.0,0.1,USA
2015,June,Auto Components,Engine parts,8409,84,8409,8409,4693619,305085235,610,7694.46,Vadodara,Gujarat,Seattle,FOB,2.5,1.67,USA
2015,June,Auto Components,Brake pads,8708,87,8708,8708,1854838,120564470,205,9047.99,Vadodara,Gujarat,New York,CIF,2.5,2.34,USA
2015,June,Auto Components,Gear boxes,8409,84,8409,8409,2933680,190689200,621,4724.12,Vadodara,Gujarat,Long Beach,CIF,2.5,2.1,USA
2015,June,Electronics,Mobile phones,8517,85,8517,8517,4890150,317859750,126,38810.71,Surat,Gujarat,Miami,FOB,0.0,0.69,USA
2015,June,Electronics,Laptop computers,8471,84,8471,8471,2029460,131914900,218,9309.45,Bangalore,Karnataka,New York,FOB,0.0,1.23,USA
2015,June,Electronics,Smart watches,8517,85,8517,8517,4536915,294899475,796,5699.64,Kolkata,West Bengal,Miami,FOB,0.0,2.2,USA
2015,June,Pharmaceuticals,Generic drugs,3001,30,3001,3001,1860312,120920280,330,5637.31,Kolkata,West Bengal,New York,FOB,0.0,1.46,USA
2015,June,Pharmaceuticals,Vaccines,3002,30,3002,3002,3258287,211788655,521,6253.91,Kolkata,West Bengal,San Francisco,CIF,0.0,3.85,USA
2015,June,Pharmaceuticals,Antibiotics,2901,29,2901,2901,2451797,159366805,137,17896.33,Vadodara,Gujarat,Seattle,FOB,0.0,3.93,USA
2015,June,Chemicals,Organic chemicals,2901,29,2901,2901,4046151,262999815,587,6892.93,Surat,Gujarat,Miami,FOB,3.0,0.6,USA
2015,June,Chemicals,Inorganic chemicals,2801,28,2801,2801,3867756,251404140,767,5042.71,Surat,Gujarat,Chicago,CIF,3.0,0.81,USA
2015,June,Chemicals,Paints,3201,32,3201,3201,3511353,228237945,513,6844.74,Chennai,Tamil Nadu,Long Beach,CIF,3.0,1.65,USA
2015,July,Textiles,Cotton yarn,5205,52,5205,5205,1882138,122338970,291,6467.83,Kolkata,West Bengal,Los Angeles,FOB,5.0,1.06,USA
2015,July,Textiles,Silk fabric,5007,50,5007,5007,4539363,295058595,428,10605.99,Bangalore,Karnataka,Boston,CIF,5.0,3.82,USA
2015,July,Textiles,Woolen fabric,5101,51,5101,5101,2681421,174292365,312,8594.3,Vadodara,Gujarat,Long Beach,CIF,5.0,3.42,USA
2015,July,Gems & Jewellery,Diamond rings,7102,71,7102,7102,1617441,105133665,600,2695.74,Chennai,Tamil Nadu,San Francisco,CIF,7.5,2.73,USA
2015,July,Gems & Jewellery,Gold earrings,7113,71,7113,7113,3166901,205848565,682,4643.55,Kolkata,West Bengal,Long Beach,FOB,7.5,0.32,USA
2015,July,Gems & Jewellery,Platinum rings,7110,71,7110,7110,2753166,178955790,512,5377.28,Kolkata,West Bengal,Chicago,FOB,7.5,4.36,USA
2015,July,Footwear,Leather shoes,6403,64,6403,6403,4147232,269570080,327,12682.67,Chennai,Tamil Nadu,Houston,FOB,10.0,0.52,USA
2015,July,Footwear,Sports shoes,6404,64,6404,6404,3200855,208055575,139,23027.73,Surat,Gujarat,Los Angeles,FOB,10.0,1.11,USA
2015,July,Footwear,Canvas sneakers,6404,64,6404,6404,1815387,118000155,487,3727.69,Vadodara,Gujarat,Long Beach,FOB,10.0,0.11,USA
2015,July,Auto Components,Engine parts,8409,84,8409,8409,3336820,216893300,645,5173.36,Chennai,Tamil Nadu,Seattle,FOB,2.5,3.74,USA
2015,July,Auto Components,Brake pads,8708,87,8708,8708,3822176,248441440,486,7864.56,Chennai,Tamil Nadu,Boston,CIF,2.5,4.17,USA
2015,July,Auto Components,Gear boxes,8409,84,8409,8409,541717,35211605,702,771.68,Surat,Gujarat,Boston,FOB,2.5,1.39,USA
2015,July,Electronics,Mobile phones,8517,85,8517,8517,4829732,313932580,519,9305.84,Kolkata,West Bengal,San Francisco,FOB,0.0,4.02,USA
2015,July,Electronics,Laptop computers,8471,84,8471,8471,787372,51179180,279,2822.12,Bangalore,Karnataka,Los Angeles,CIF,0.0,3.3,USA
2015,July,Electronics,Smart watches,8517,85,8517,8517,3915639,254516535,184,21280.65,Kolkata,West Bengal,Houston,FOB,0.0,4.9,USA
2015,July,Pharmaceuticals,Generic drugs,3001,30,3001,3001,1899309,123455085,508,3738.8,Chennai,Tamil Nadu,Miami,CIF,0.0,0.85,USA
2015,July,Pharmaceuticals,Vaccines,3002,30,3002,3002,4932315,320600475,191,25823.64,Mumbai,Maharashtra,Houston,FOB,0.0,4.76,USA
2015,July,Pharmaceuticals,Antibiotics,2901,29,2901,2901,3117908,202664020,127,24550.46,Vadodara,Gujarat,Boston,CIF,0.0,3.11,USA
2015,July,Chemicals,Organic chemicals,2901,29,2901,2901,4734421,307737365,767,6172.65,Bangalore,Karnataka,Los Angeles,CIF,3.0,1.78,USA
2015,July,Chemicals,Inorganic chemicals,2801,28,2801,2801,2891706,187960890,373,7752.56,Bangalore,Karnataka,Long Beach,CIF,3.0,0.12,USA
2015,July,Chemicals,Paints,3201,32,3201,3201,1163390,75620350,247,4710.08,Bangalore,Karnataka,Chicago,FOB,3.0,0.21,USA
2015,August,Textiles,Cotton yarn,5205,52,5205,5205,2725273,177142745,773,3525.58,Bangalore,Karnataka,Long Beach,FOB,5.0,1.02,USA
2015,August,Textiles,Silk fabric,5007,50,5007,5007,1912282,124298330,265,7216.16,Hyderabad,Telangana,Houston,CIF,5.0,3.44,USA
2015,August,Textiles,Woolen fabric,5101,51,5101,5101,1683143,109404295,280,6011.23,Chennai,Tamil Nadu,Long Beach,CIF,5.0,4.17,USA
2015,August,Gems & Jewellery,Diamond rings,7102,71,7102,7102,1518480,98701200,378,4017.14,Kolkata,West Bengal,Long Beach,CIF,7.5,0.66,USA
2015,August,Gems & Jewellery,Gold earrings,7113,71,7113,7113,2165309,140745085,476,4548.97,Kolkata,West Bengal,Miami,FOB,7.5,3.23,USA
2015,August,Gems & Jewellery,Platinum rings,7110,71,7110,7110,4240380,275624700,618,6861.46,Hyderabad,Telangana,Miami,CIF,7.5,0.14,USA
2015,August,Footwear,Leather shoes,6403,64,6403,6403,1499559,97471335,161,9314.03,Vadodara,Gujarat,Houston,FOB,10.0,1.63,USA
2015,August,Footwear,Sports shoes,6404,64,6404,6404,3042691,197774915,549,5542.24,Surat,Gujarat,Long Beach,FOB,10.0,2.27,USA
2015,August,Footwear,Canvas sneakers,6404,64,6404,6404,853080,55450200,391,2181.79,Chennai,Tamil Nadu,Boston,CIF,10.0,0.72,USA
2015,August,Auto Components,Engine parts,8409,84,8409,8409,3668629,238460885,592,6197.01,Chennai,Tamil Nadu,Boston,CIF,2.5,4.28,USA
2015,August,Auto Components,Brake pads,8708,87,8708,8708,1913984,124408960,755,2535.08,Mumbai,Maharashtra,Philadelphia,FOB,2.5,1.45,USA
2015,August,Auto Components,Gear boxes,8409,84,8409,8409,2785251,181041315,467,5964.13,Bangalore,Karnataka,Chicago,FOB,2.5,3.72,USA
2015,August,Electronics,Mobile phones,8517,85,8517,8517,2427238,157770470,132,18388.17,Hyderabad,Telangana,San Francisco,FOB,0.0,1.79,USA
2015,August,Electronics,Laptop computers,8471,84,8471,8471,3278782,213120830,423,7751.26,Mumbai,Maharashtra,Philadelphia,FOB,0.0,2.14,USA
2015,August,Electronics,Smart watches,8517,85,8517,8517,2143505,139327825,425,5043.54,Mumbai,Maharashtra,Houston,CIF,0.0,3.71,USA
2015,August,Pharmaceuticals,Generic drugs,3001,30,3001,3001,1955689,127119785,645,3032.08,Hyderabad,Telangana,San Francisco,CIF,0.0,2.1,USA
2015,August,Pharmaceuticals,Vaccines,3002,30,3002,3002,3004862,195316030,280,10731.65,Kolkata,West Bengal,Philadelphia,FOB,0.0,4.87,USA
2015,August,Pharmaceuticals,Antibiotics,2901,29,2901,2901,2591388,168440220,352,7361.9,Chennai,Tamil Nadu,San Francisco,FOB,0.0,0.19,USA
2015,August,Chemicals,Organic chemicals,2901,29,2901,2901,2725966,177187790,180,15144.26,Chennai,Tamil Nadu,Miami,FOB,3.0,2.89,USA
2015,August,Chemicals,Inorganic chemicals,2801,28,2801,2801,1676772,108990180,500,3353.54,Bangalore,Karnataka,Miami,FOB,3.0,4.83,USA
2015,August,Chemicals,Paints,3201,32,3201,3201,4277499,278037435,128,33417.96,Mumbai,Maharashtra,Boston,FOB,3.0,3.79,USA
2015,September,Textiles,Cotton yarn,5205,52,5205,5205,4273906,277803890,562,7604.81,Kolkata,West Bengal,Philadelphia,FOB,5.0,2.48,USA
2015,September,Textiles,Silk fabric,5007,50,5007,5007,3450729,224297385,406,8499.33,Vadodara,Gujarat,Long Beach,FOB,5.0,3.17,USA
2015,September,Textiles,Woolen fabric,5101,51,5101,5101,3199237,207950405,679,4711.69,Chennai,Tamil Nadu,Los Angeles,FOB,5.0,0.98,USA
2015,September,Gems & Jewellery,Diamond rings,7102,71,7102,7102,1375857,89430705,778,1768.45,Mumbai,Maharashtra,San Francisco,FOB,7.5,0.13,USA
2015,September,Gems & Jewellery,Gold earrings,7113,71,7113,7113,3427608,222794520,221,15509.54,Surat,Gujarat,Seattle,CIF,7.5,3.72,USA
2015,September,Gems & Jewellery,Platinum rings,7110,71,7110,7110,2959821,192388365,439,6742.19,Mumbai,Maharashtra,San Francisco,FOB,7.5,3.94,USA
2015,September,Footwear,Leather shoes,6403,64,6403,6403,2150266,139767290,748,2874.69,Hyderabad,Telangana,Long Beach,CIF,10.0,4.95,USA
2015,September,Footwear,Sports shoes,6404,64,6404,6404,2846859,185045835,715,3981.62,Surat,Gujarat,San Francisco,FOB,10.0,2.56,USA
2015,September,Footwear,Canvas sneakers,6404,64,6404,6404,4359228,283349820,277,15737.29,Kolkata,West Bengal,Los Angeles,FOB,10.0,1.53,USA
